Dispatched,Description,Address,Grid,Report
1/17/2023 11:42,DOMESTIC DISPUTE,2100 BLOCK W MARJORY AVE,172,24369
1/17/2023 11:19,INFORMATION,900 BLOCK E BUSCH BLVD,19,24367
1/17/2023 11:37,MISDEMEANOR,700 BLOCK N FRANKLIN ST,143,24368
1/17/2023 11:17,HOLDING PERSON,1700 BLOCK MARITIME BLVD,148,24366
1/17/2023 11:08,VEHICLE STOP/TRAFFIC,E SLIGH AVE / N 24TH ST,54,24362
1/17/2023 11:05,BUILDING CHECK,16200 BLOCK BRUCE B DOWNS BLVD,233,24361
1/17/2023 11:11,BURG OF A STRUCTURE,200 BLOCK WESTSHORE PLZ,149,24364
1/17/2023 11:04,TRAFFIC CRASH,S TAMPA ST / E BROREIN ST,144,24360
1/17/2023 10:58,RESID/COMMERIAL ALARM,3600 BLOCK N 15TH ST,97,24358
1/17/2023 10:58,RESID/COMMERIAL ALARM,20100 BLOCK HERON CROSSING DR,246,24357
1/17/2023 10:53,RESID/COMMERIAL ALARM,4200 BLOCK W SYLVAN RAMBLE ST,163,24354
1/17/2023 10:51,FOLLOW UP INVESTIGATION,3900 BLOCK W CYPRESS ST,151,24353
1/17/2023 11:00,INFORMATION,300 BLOCK N DALE MABRY HWY,152,24356
1/17/2023 10:46,VEHICLE STOP/TRAFFIC,I275 / N JEFFERSON ST,125,24351
1/17/2023 11:08,DOMESTIC DISPUTE,3900 BLOCK E HILLSBOROUGH AVE,62,24352
1/17/2023 10:45,MENTALLY ILL PERSON,GRID ONLY,159,24350
1/17/2023 10:41,VEHICLE STOP/TRAFFIC,E PALM AVE / N 15TH ST,127,24349
1/17/2023 10:48,RESID/COMMERIAL ALARM,500 BLOCK E LAKE AVE,95,24348
1/17/2023 10:38,VEHICLE STOP/TRAFFIC,I275 / N ASHLEY DR,125,24345
1/17/2023 10:42,RECKLESS DRIVING,N DALE MABRY HWY / W KENNEDY BLVD,157,24347
1/17/2023 10:49,MISDEMEANOR,2500 BLOCK N 50TH ST,131,24344
1/17/2023 10:46,ASSAULT/BATTERY,4700 BLOCK W MONTGOMERY AVE,190,24346
1/17/2023 10:37,FOLLOW UP INVESTIGATION,3000 BLOCK N AV REPUBLICA DE CUBA,107,24342
1/17/2023 10:39,TRAFFIC CRASH,W AZEELE ST / S HABANA AVE,159,24341
1/17/2023 10:30,BUILDING CHECK,4800 BLOCK N FLORIDA AVE,70,24338
1/17/2023 11:59,ASSAULT/BATTERY,2100 BLOCK E IDA ST,84,24343
1/17/2023 11:04,SUSPICIOUS VEHICLE,900 BLOCK E WATERS AVE,29,24340
1/17/2023 10:29,VEHICLE STOP/TRAFFIC,I275 / EXIT 42 I275 N ARMENIA AVE,137,24335
1/17/2023 10:49,FOLLOW UP INVESTIGATION,11200 BLOCK N 22ND ST,6,24337
1/17/2023 10:34,SUSPICIOUS VEHICLE,8100 BLOCK N ALASKA ST,38,24339
1/17/2023 10:20,VEHICLE STOP/TRAFFIC,SR 60 W NB / I275 N SR 60 W NB RAMP,117,24333
1/17/2023 10:26,MENTALLY ILL PERSON,GRID ONLY,51,24334
1/17/2023 10:17,PETTY THEFT,3000 BLOCK N NEBRASKA AVE,107,24332
1/17/2023 10:17,BUILDING CHECK,300 BLOCK E LINEBAUGH AVE,11,24331
1/17/2023 10:13,VEHICLE STOP/TRAFFIC,N ARMENIA AVE / W BUSCH BLVD,16,24327
1/17/2023 10:11,INFORMATION,2700 BLOCK N FLORIDA AVE,106,24326
1/17/2023 10:16,HIT AND RUN,5000 BLOCK ADAMO DR,131,24328
1/17/2023 10:08,VEHICLE STOP/TRAFFIC,SR 60 HILLSBOROUGH RAMP / W SPRUCE ST,117,24325
1/17/2023 12:12,DOMESTIC DISPUTE,4100 BLOCK E FERN ST,55,24329
1/17/2023 10:04,VEHICLE STOP/TRAFFIC,BRUCE B DOWNS BLVD / CYPRESS PRESERVE DR,236,24323
1/17/2023 10:30,INFORMATION,4800 BLOCK N HESPERIDES ST,67,24324
1/17/2023 10:32,TRAFFIC CRASH,N 40TH ST / E HANNA AVE,55,24322
1/17/2023 10:01,TRAFFIC CRASH,N 22ND ST / ADAMO DR,146,24319
1/17/2023 9:58,BUILDING CHECK,4400 BLOCK W BAY VISTA AVE,180,24316
1/17/2023 12:28,AUTO BURGLARY,3400 BLOCK E COMANCHE AVE,62,24314
1/17/2023 9:55,VEHICLE STOP/TRAFFIC,SR 60 W SB / W SPRUCE ST,117,24312
1/17/2023 9:56,TRAFFIC CRASH,E PALM AVE / N NEBRASKA AVE,126,24313
1/17/2023 9:54,INFORMATION,N ARMENIA AVE / W DR MARTIN LUTHER KING JR BLVD,91,24310
1/17/2023 10:00,TRAFFIC CRASH,N ARMENIA AVE / W CURTIS ST,78,24311
1/17/2023 9:53,TRAFFIC CRASH,E SLIGH AVE / N FLORIDA AVE,50,24308
1/17/2023 9:49,BUILDING CHECK,E POLK ST / N MARION ST,143,24306
1/17/2023 9:49,VEHICLE STOP/TRAFFIC,SR 60 W SB / W SPRUCE ST,117,24305
1/17/2023 9:56,INFORMATION,3000 BLOCK N AV REPUBLICA DE CUBA,107,24307
1/17/2023 10:08,TRAFFIC CRASH,MEMORIAL HWY / INDEPENDENCE PKWY,117,24300
1/17/2023 9:53,MISDEMEANOR,800 BLOCK W WATERS AVE,36,24301
1/17/2023 11:18,AUTO BURGLARY,7000 BLOCK INTERBAY BLVD,196,24298
1/17/2023 9:42,BUILDING CHECK,SCOTT ST / N MARION ST,140,24294
1/17/2023 9:37,BUILDING CHECK,4700 BLOCK W MONTGOMERY AVE,190,24289
1/17/2023 9:54,RECKLESS DRIVING,E HANNA AVE / N NEBRASKA AVE,58,24288
1/17/2023 9:44,MISDEMEANOR,1900 BLOCK N DALE MABRY HWY,121,24287
1/17/2023 11:31,CRIMINAL MISCHIEF,11300 BLOCK WINTER CT,6,24285
1/17/2023 10:00,AUTO BURGLARY,4500 BLOCK N FLORIDA AVE,82,24282
1/17/2023 10:01,AUTO BURGLARY,6400 BLOCK S WEST SHORE BLVD,190,24281
1/17/2023 9:27,MISDEMEANOR,N 22ND ST / ADAMO DR,146,24279
1/17/2023 9:27,VEHICLE STOP/TRAFFIC,SR 60 W NB / W SPRUCE ST,117,24278
1/17/2023 10:16,MISDEMEANOR,8900 BLOCK N FLORIDA AVE,28,24286
1/17/2023 9:34,FOLLOW UP INVESTIGATION,3000 BLOCK W DR MARTIN LUTHER KING JR BLVD,78,24280
1/17/2023 9:45,MISDEMEANOR,2200 BLOCK W KENNEDY BLVD,160,24276
1/17/2023 9:22,BUILDING CHECK,1700 BLOCK S MANHATTAN AVE,169,24271
1/17/2023 9:21,INFORMATION,E BROAD ST / N NEBRASKA AVE,44,24270
1/17/2023 9:20,MISDEMEANOR,800 BLOCK E DR MARTIN LUTHER KING JR BLVD,95,24266
1/17/2023 9:18,VEHICLE STOP/TRAFFIC,SR 60 W NB / W SPRUCE ST,117,24265
1/17/2023 9:27,ANIMAL NUISANCE,1300 BLOCK W HIAWATHA ST,49,24267
1/17/2023 10:01,INFORMATION,4800 BLOCK LONDONDERRY DR,230,24274
1/17/2023 9:18,MISDEMEANOR,2500 BLOCK N 50TH ST,131,24264
1/17/2023 9:17,RESID/COMMERIAL ALARM,500 BLOCK W HILDA ST,81,24262
1/17/2023 9:14,RESID/COMMERIAL ALARM,6100 BLOCK S MACDILL AVE,193,24260
1/17/2023 9:35,AGG ASSAULT/BATTERY,11200 BLOCK N 22ND ST,6,24275
1/17/2023 9:14,PARKING VIOLATION,1000 BLOCK WATER ST,145,24259
1/17/2023 11:03,PETTY THEFT,3800 BLOCK N 22ND ST,97,24255
1/17/2023 9:12,AUTO BURGLARY,4600 BLOCK W LONGFELLOW AVE,173,24252
1/17/2023 9:04,MISDEMEANOR,E DR MARTIN LUTHER KING JR BLVD / I275,95,24251
1/17/2023 9:46,INFORMATION,5400 BLOCK LYKES LN,193,24248
1/17/2023 8:58,VEHICLE STOP/TRAFFIC,800 BLOCK E DR MARTIN LUTHER KING JR BLVD,95,24242
1/17/2023 9:25,DISTURBANCE,3300 BLOCK E 26TH AVE,99,24250
1/17/2023 9:01,TRAFFIC CRASH,N DALE MABRY HWY / W COLUMBUS DR,120,24243
1/17/2023 9:02,DOMESTIC DISPUTE,6900 BLOCK INTERBAY BLVD,196,24245
1/17/2023 9:07,TRAFFIC CRASH,W SWANN AVE / S STERLING AVE,165,24238
1/17/2023 10:57,DOMESTIC DISPUTE,6600 BLOCK N TALIAFERRO AVE,51,24246
1/17/2023 9:07,INFORMATION,2500 BLOCK E HILLSBOROUGH AVE,61,24241
1/17/2023 8:52,DISABLED VEHICLE,TAMPA PALMS BLVD W / COMMERCE PARK BLVD,237,24235
1/17/2023 8:53,RESID/COMMERIAL ALARM,3200 BLOCK S HIMES AVE,175,24236
1/17/2023 8:57,RESID/COMMERIAL ALARM,2300 BLOCK E FOWLER AVE,6,24233
1/17/2023 8:56,FOLLOW UP INVESTIGATION,300 BLOCK E HANLON ST,44,24231
1/17/2023 8:49,MENTALLY ILL PERSON,GRID ONLY,51,24230
1/17/2023 8:45,VEHICLE STOP/TRAFFIC,E JACKSON ST / N MARION ST,144,24227
1/17/2023 8:51,TRAFFIC CRASH,3000 BLOCK W COLUMBUS DR,113,24228
1/17/2023 8:57,FOLLOW UP INVESTIGATION,100 BLOCK W CURTIS ST,81,24225
1/17/2023 8:59,INFORMATION,3600 BLOCK W NORTH B ST,152,24229
1/17/2023 8:48,TRAFFIC CONTROL,N ROME AVE / W SLIGH AVE,48,24219
1/17/2023 8:38,DOMESTIC DISPUTE,800 BLOCK E DR MARTIN LUTHER KING JR BLVD,95,24223
1/17/2023 8:32,VEHICLE STOP/TRAFFIC,N ARMENIA AVE / W HILLSBOROUGH AVE,66,24216
1/17/2023 8:37,MENTALLY ILL PERSON,GRID ONLY,54,24217
1/17/2023 8:36,RESID/COMMERIAL ALARM,2200 BLOCK N WEST SHORE BLVD,120,24211
1/17/2023 8:27,DISTURBANCE,8700 BLOCK N 27TH ST,31,24209
1/17/2023 8:22,MISDEMEANOR,4800 BLOCK E BROADWAY AVE,131,24206
1/17/2023 8:18,BUILDING CHECK,1100 BLOCK W SPRUCE ST,124,24203
1/17/2023 8:19,TRAFFIC CRASH,5100 BLOCK PALM SPRINGS BLVD,237,24204
1/17/2023 8:15,RESID/COMMERIAL ALARM,2500 BLOCK W EDGEWOOD RD,166,24201
1/17/2023 8:13,LOST/FOUND PROPERTY,E KENNEDY BLVD / N MARION ST,144,24199
1/17/2023 8:13,BUILDING CHECK,1600 BLOCK E 7TH AVE,128,24198
1/17/2023 8:10,BUILDING CHECK,4300 BLOCK N 24TH ST,85,24194
1/17/2023 9:12,DOMESTIC DISPUTE,3600 BLOCK N 52ND ST,101,24200
1/17/2023 8:11,MISDEMEANOR,S ASHLEY DR / CHANNELSIDE DR,144,24197
1/17/2023 8:42,MISDEMEANOR,3600 BLOCK W HILLSBOROUGH AVE,65,24193
1/17/2023 8:05,MENTALLY ILL PERSON,GRID ONLY,35,24182
1/17/2023 8:08,DOMESTIC DISPUTE,3800 BLOCK N NEBRASKA AVE,96,24186
1/17/2023 8:01,BUILDING CHECK,2400 BLOCK S HIMES AVE,170,24174
1/17/2023 7:53,VEHICLE STOP/TRAFFIC,E ESTELLE ST / N TAMPA ST,125,24168
1/17/2023 8:09,STREET OBSTRUCTION,11100 BLOCK N NEBRASKA AVE,4,24173
1/17/2023 7:52,BUILDING CHECK,2200 BLOCK E 7TH AVE,129,24166
1/17/2023 7:54,RESID/COMMERIAL ALARM,4700 BLOCK W MCCOY ST,195,24167
1/17/2023 9:33,AUTO BURGLARY,4700 BLOCK N WILLIS ST,81,24164
1/17/2023 8:06,NATURE UNKNOWN,7500 BLOCK N DARTMOUTH AVE,43,24163
1/17/2023 8:11,MISDEMEANOR,900 BLOCK N ARMENIA AVE,137,24162
1/17/2023 7:43,MISDEMEANOR,2500 BLOCK N 50TH ST,131,24160
1/17/2023 7:43,HIT AND RUN,N WELLINGTON AVE / E SLIGH AVE,51,24161
1/17/2023 7:37,MENTALLY ILL PERSON,GRID ONLY,69,24157
1/17/2023 7:37,GRAND THEFT,5100 BLOCK ADAMO DR,134,24155
1/17/2023 7:44,MISDEMEANOR,900 BLOCK E POWHATAN AVE,59,24154
1/17/2023 7:28,DISTURBANCE,800 BLOCK N TAMPA ST,143,24152
1/17/2023 7:27,RESID/COMMERIAL ALARM,10100 BLOCK ARBOR RUN DR,253,24151
1/17/2023 7:32,TRAFFIC CRASH,SR 60 W NB / W SPRUCE ST,117,24150
1/17/2023 7:34,MISDEMEANOR,3900 BLOCK W NEPTUNE ST,169,24149
